id,name,abstracts_rank,cgs_rank,childrensgames_rank,familygames_rank,partygames_rank,strategygames_rank,thematic_rank,wargames_rank
224517,Brass: Birmingham,,,,,,1,,
161936,Pandemic Legacy: Season 1,,,,,,2,1,
342942,Ark Nova,,,,,,3,,
174430,Gloomhaven,,,,,,4,2,
233078,Twilight Imperium: Fourth Edition,,,,,,5,3,
316554,Dune: Imperium,,,,,,6,,
167791,Terraforming Mars,,,,,,7,,
115746,War of the Ring: Second Edition,,,,,,,4,1
187645,Star Wars: Rebellion,,,,,,,5,
162886,Spirit Island,,,,,,9,,
291457,Gloomhaven: Jaws of the Lion,,,,,,11,7,
220308,Gaia Project,,,,,,8,,
12333,Twilight Struggle,,,,,,14,,2
182028,Through the Ages: A New Story of Civilization,,,,,,12,,
84876,The Castles of Burgundy,,,,,,17,,
193738,Great Western Trail,,,,,,16,,
397598,Dune: Imperium – Uprising,,,,,,10,,
169786,Scythe,,,,,,22,,
246900,Eclipse: Second Dawn for the Galaxy,,,,,,15,,
173346,7 Wonders Duel,,,,,,23,,
28720,Brass: Lancashire,,,,,,18,,
167355,Nemesis,,,,,,,12,
266507,Clank! Legacy: Acquisitions Incorporated,,,,,,,8,
177736,A Feast for Odin,,,,,,20,,
124361,Concordia,,,,,,21,,
295770,Frosthaven,,,,,,13,6,
341169,Great Western Trail: Second Edition,,,,,,19,,
205637,Arkham Horror: The Card Game,,2,,,,,13,
312484,Lost Ruins of Arnak,,,,,,29,,
237182,Root,,,,,,33,,13
120677,Terra Mystica,,,,,,28,,
266192,Wingspan,,,,2,,40,,
192135,Too Many Bones,,,,,,24,11,
164928,Orléans,,,,,,27,,
96848,Mage Knight Board Game,,,,,,34,16,
251247,Barrage,,,,,,26,,
324856,The Crew: Mission Deep Sea,,,,1,,,,
199792,Everdell,,,,4,,43,,
183394,Viticulture Essential Edition,,,,,,39,,
373106,Sky Team,,,,3,,,17,
366013,Heat: Pedal to the Metal,,,,6,,,,
285774,Marvel Champions: The Card Game,,3,,,,,,
175914,Food Chain Magnate,,,,,,36,,
256960,Pax Pamir: Second Edition,,,,,,35,,4
247763,Underwater Cities,,,,,,37,,
521,Crokinole,,,,5,,,,
284378,Kanban EV,,,,,,25,,
3076,Puerto Rico,,,,,,47,,
295947,Cascadia,1,,,7,,,,
102794,Caverna: The Cave Farmers,,,,,,45,,
314040,Pandemic Legacy: Season 0,,,,,,31,10,
185343,Anachrony,,,,,,42,,
184267,On Mars,,,,,,38,,
170216,Blood Rage,,,,,,52,,
31260,Agricola,,,,,,53,,
321608,Hegemony: Lead Your Class to Victory,,,,,,30,,
253344,Cthulhu: Death May Die,,,,,,,15,
255984,Sleeping Gods,,,,,,,19,
251661,Oathsworn: Into the Deepwood,,,,,,,9,
161533,Lisboa,,,,,,41,,
221107,Pandemic Legacy: Season 2,,,,,,46,20,
231733,Obsession,,,,,,44,21,
205059,Mansions of Madness: Second Edition,,,,,,,23,
182874,Grand Austria Hotel,,,,,,49,,
126163,Tzolk'in: The Mayan Calendar,,,,,,59,,
2651,Power Grid,,,,,,64,,
276025,Maracaibo,,,,,,50,,
244521,The Quacks of Quedlinburg,,,,10,,,,
216132,Clans of Caledonia,,,,,,56,,
35677,Le Havre,,,,,,61,,
125153,The Gallerist,,,,,,48,,
383179,Age of Innovation,,,,,,32,,
266810,Paladins of the West Kingdom,,,,,,57,,
164153,Star Wars: Imperial Assault,,,,,,,26,
124742,Android: Netrunner,,4,,,,,,
209010,Mechs vs. Minions,,,,,,66,22,
284083,The Crew: The Quest for Planet Nine,,,,12,,,,
55690,Kingdom Death: Monster,,,,,,,18,
200680,Agricola (Revised Edition),,,,,,68,,
230802,Azul,2,,,13,,,,
28143,Race for the Galaxy,,,,,,75,,
365717,Clank!: Catacombs,,,,9,,54,,
157354,Five Tribes: The Djinns of Naqala,,,,,,79,,
201808,Clank!: A Deck-Building Adventure,,,,15,,88,,
72125,Eclipse: New Dawn for the Galaxy,,,,,,77,,
159675,Fields of Arle,,,,,,62,,
191189,Aeon's End,,,,,,81,,
421006,The Lord of the Rings: Duel for Middle-earth,,,,,,55,,
110327,Lords of Waterdeep,,,,,,94,,
229853,Teotihuacan: City of Gods,,,,,,72,,
93,El Grande,,,,,,82,,
317985,Beyond the Sun,,,,,,70,,
25613,Through the Ages: A Story of Civilization,,,,,,71,,
332772,Revive,,,,,,63,,
62219,Dominant Species,,,,,,80,,
256916,Concordia Venus,,,,,,58,,
68448,7 Wonders,,,,18,,111,,
121921,Robinson Crusoe: Adventures on the Cursed Island,,,,,,,31,
171623,The Voyages of Marco Polo,,,,,,87,,
291453,SCOUT,,,,14,,,,
279537,The Search for Planet X,,,,,,78,,
322289,Darwin's Journey,,,,,,67,,
366161,Wingspan Asia,,,,11,,69,,
371942,The White Castle,,,,,,85,,
225694,Decrypto,,,,,2,,,
163068,Trickerion: Legends of Illusion,,,,,,76,,
155821,Inis,,,,,,95,,
264220,Tainted Grail: The Fall of Avalon,,,,,,,28,
37111,Battlestar Galactica: The Board Game,,,,,,,32,
277659,Final Girl,,,,,,,25,
338960,Slay the Spire: The Board Game,,,,,,60,,
364073,Splendor Duel,,,,16,,93,,
236457,Architects of the West Kingdom,,,,,,101,,
310873,Carnegie,,,,,,73,,
122515,Keyflower,,,,,,97,,
42,Tigris & Euphrates,,,,,,102,,
170042,Raiders of the North Sea,,,,,,107,,
380607,Great Western Trail: New Zealand,,,,,,51,,
40834,Dominion: Intrigue,,,,,,113,,
271055,Dwellings of Eldervale,,,,,,74,,
217372,The Quest for El Dorado,,,,19,,,,
18602,Caylus,,,,,,103,,
390092,Ticket to Ride Legacy: Legends of the West,,,,8,,,,
203993,Lorenzo il Magnifico,,,,,,91,,
73439,Troyes,,,,,,98,,
146021,Eldritch Horror,,,,,,,37,
414317,Harmonies,3,,,17,,,,
172386,Mombasa,,,,,,89,,
240980,Blood on the Clocktower,,,,,1,90,,
269385,The Lord of the Rings: Journeys in Middle-Earth,,,,,,,30,
12,Ra,,,,,,112,,
337627,Voidfall,,,,,,65,,
12493,Twilight Imperium: Third Edition,,,,,,120,33,
163412,Patchwork,5,,,21,,,,
310100,Nemesis: Lockdown,,,,,,,27,
102680,Trajan,,,,,,105,,
144733,Russian Railroads,,,,,,106,,
36218,Dominion,,,,,,136,,
4098,Age of Steam,,,,,,92,,
180263,The 7th Continent,,,,,,,36,
205896,Rising Sun,,,,,,125,,
43015,Hansa Teutonica,,,,,,108,,
218417,Aeon's End: War Eternal,,,,,,84,,
175640,Vinhos: Deluxe Edition,,,,,,86,,
227935,Wonderland's War,,,,,,99,,
359871,Arcs,,,,,,96,,
233371,Clank! In! Space!: A Deck-Building Adventure,,,,20,,119,,
175155,Forbidden Stars,,,,,,104,,
198928,Iberia,,,,,,115,,
196340,Yokohama,,,,,,109,,
178900,Codenames,,,,,5,,,
172287,Champions of Midgard,,,,,,129,,
254640,Just One,,,,,3,,,
132531,Roll for the Galaxy,,,,,,134,,
266524,PARKS,,,,25,,,,
30549,Pandemic,,,,32,,167,,
220877,Rajas of the Ganges,,,,,,123,,
118048,Targi,,,,,,132,,
410201,Wyrmspan,,,,,,124,,
281259,The Isle of Cats,,,,24,,142,,
304783,Hadrian's Wall,,,,,,114,,
263918,Cartographers,,,,26,,,,
262712,Res Arcana,,,,,,137,,
147020,Star Realms,,,,,,155,,
189932,Tyrants of the Underdark,,,,,,117,,
274364,Watergate,,,,,,128,,
161970,Alchemists,,,,,,141,,
271324,It's a Wonderful World,,,,,,139,,
463,Magic: The Gathering,,19,,,,,,
14996,Ticket to Ride: Europe,,,,30,,,,
268864,Undaunted: Normandy,,,,,,,,29
235802,Too Many Bones: Undertow,,,,,,83,14,
325494,ISS Vanguard,,,,,,,24,
308765,Praga Caput Regni,,,,,,118,,
77423,The Lord of the Rings: The Card Game,,10,,,,,,
34635,Stone Age,,,,31,,156,,
127023,Kemet,,,,,,138,,
2511,Sherlock Holmes Consulting Detective: The Thames Murders & Other Cases,,,,,,,46,
233398,Endeavor: Age of Sail,,,,,,122,,
396790,Nucleum,,,,,,100,,
328871,Terraforming Mars: Ares Expedition,,,,,,144,,
296151,Viscounts of the West Kingdom,,,,,,126,,
209418,Dominion (Second Edition),,,,,,143,,
249259,War Chest,6,,,,,,,
146652,Legendary Encounters: An Alien Deck Building Game,,,,,,,39,
148949,Istanbul,,,,29,,148,,
265188,Glen More II: Chronicles,,,,,,121,,
103885,Star Wars: X-Wing Miniatures Game,,14,,,,,,63
283948,Marco Polo II: In the Service of the Khan,,,,,,116,,
294484,Unmatched: Cobble & Fog,,,,,,130,,
244522,That's Pretty Clever!,,,,27,,,,
329082,Radlands,,,,,,145,,
82222,Xia: Legends of a Drift System,,,,,,135,34,
54043,Jaipur,,,,37,,,,
233867,Welcome To...,,,,34,,,,
258779,Planet Unknown,,,,23,,131,,
350184,Earth,,,,,,151,,
283355,Dune,,,,,,146,43,
9609,War of the Ring,,,,,,,38,23
43111,Chaos in the Old World,,,,,,149,44,
339789,Welcome to the Moon,,,,22,,,40,
188920,This War of Mine: The Board Game,,,,,,,45,
271896,Star Wars: Outer Rim,,,,,,,42,
10630,Memoir '44,,,,,,,,67
104162,Descent: Journeys in the Dark (Second Edition),,,,,,,54,
227224,The Red Cathedral,,,,,,153,,
314491,Meadow,,,,28,,152,,
39463,Cosmic Encounter,,,,,,187,68,
25021,Sekigahara: The Unification of Japan,,,,,,,,8
199561,Sagrada,11,,,44,,,,
364011,Great Western Trail: Argentina,,,,,,110,,
155426,Castles of Mad King Ludwig,,,,,,162,,
282524,Horrified,,,,40,,,55,
242302,Space Base,,,,39,,,,
128882,The Resistance: Avalon,,,,,12,,,
17133,Railways of the World,,,,,,150,,
287954,Azul: Summer Pavilion,8,,,38,,,,
118,Modern Art,,,,,,165,,
300531,Paleo,,,,,,168,53,
31627,Ticket to Ride: Nordic Countries,,,,36,,,,
316377,7 Wonders (Second Edition),,,,33,,166,,
103343,A Game of Thrones: The Board Game (Second Edition),,,,,,194,,
70149,Ora et Labora,,,,,,147,,
188,Go,15,,,,,,,
359609,Arkham Horror: The Card Game (Revised Edition),,1,,,,,,
14105,Commands & Colors: Ancients,,,,,,,,22
171131,Captain Sonar,,,,,9,,62,
123260,Suburbia,,,,,,178,,
374173,Star Wars: The Deckbuilding Game,,,,35,,157,,
822,Carcassonne,,,,55,,,,
104006,Village,,,,,,174,,
148228,Splendor,,,,53,,,,
150376,Dead of Winter: A Crossroads Game,,,,,,,73,
285967,Ankh: Gods of Egypt,,,,,,158,,
299659,Clash of Cultures: Monumental Edition,,,,,,127,,
241451,Aeon's End: Legacy,,,,,,140,,
215,Tichu,,,,,,171,,
293014,Nidavellir,,,,42,,170,,
256680,Return to Dark Tower,,,,,,,29,
182631,Star Realms: Colony Wars,,,,,,161,,
269207,The Taverns of Tiefenthal,,,,46,,185,,
91,Paths of Glory,,,,,,,,3
306735,Under Falling Skies,,,,,,183,,
391163,Forest Shuffle,,,,41,,173,,
245638,Coimbra,,,,,,164,,
9209,Ticket to Ride,,,,57,,,,
7854,YINSH,4,,,,,,,
126042,Nations,,,,,,163,,
195421,Near and Far,,,,,,,50,
283155,Calico,10,,,48,,,,
295486,My City,,,,43,,175,,
21050,Combat Commander: Europe,,,,,,,,11
54998,Cyclades,,,,,,199,,
332686,John Company: Second Edition,,,,,,133,35,
188834,Secret Hitler,,,,,19,,,
165722,KLASK,,,,45,7,,,
221194,Dinosaur Island,,,,,,197,,
146886,La Granja,,,,,,172,,
224037,Codenames: Duet,,,,52,,,,
223040,Fantasy Realms,,,,51,,,,
260605,Camel Up (Second Edition),,,,49,8,,,
129437,Legendary: A Marvel Deck Building Game,,,,,,,75,
232832,Century: Golem Edition,,,,47,,211,,
158600,Hanamikoji,,,,56,,,,
156129,Deception: Murder in Hong Kong,,,,,11,,,
274637,"Unmatched: Battle of Legends, Volume One",,,,,,200,,
192291,Sushi Go Party!,,,,62,,,,
318977,MicroMacro: Crime City,,,,54,,,,
176189,Zombicide: Black Plague,,,,,,,69,
199478,Flamme Rouge,,,,58,,,,
555,The Princes of Florence,,,,,,198,,
169426,Roll Player,,,,,,219,,
176494,Isle of Skye: From Chieftain to King,,,,59,,222,,
3,Samurai,,,,,,208,,
300322,Hallertau,,,,,,159,,
19857,Glory to Rome,,,,,,202,,
224783,Vindication,,,,,,179,,
232405,Western Legends,,,,,,,61,
194655,Santorini,16,,,,,,,
109276,Kanban: Driver's Edition,,,,,,169,,
198994,Hero Realms,,,,,,236,,
228341,Pulsar 2849,,,,,,184,,
9216,Goa: A New Expedition,,,,,,189,,
286096,Tapestry,,,,,,227,,
421,1830: Railways & Robber Barons,,,,,,160,,
20551,Shogun,,,,,,215,,
31481,Galaxy Trucker,,,,,,,87,
311193,Anno 1800: The Board Game,,,,,,186,,
305096,Endless Winter: Paleoamericans,,,,,,195,,
223321,Detective: A Modern Crime Board Game,,,,,,,63,
128621,Viticulture,,,,,,221,,
27708,1960: The Making of the President,,,,,,201,,
239188,Chronicles of Crime,,,,,,,80,
140620,Lewis & Clark: The Expedition,,,,,,224,,
156546,Monikers,,,,,4,,,
323612,Bitoku,,,,,,188,,
284653,Mind MGMT: The Psychic Espionage “Game.”,,,,,,180,,
204583,Kingdomino,,,,73,,,,
127060,Bora Bora,,,,,,209,,
27833,Steam,,,,,,206,,
291572,Oath,,,,,,218,83,
760,Battle Line,,,,,,237,,
297562,Kemet: Blood and Sand,,,,,,182,,
329839,So Clover!,,,,,6,,,
298047,Marvel United,,,,63,,,,
351913,Tiletum,,,,,,176,,
230253,Star Realms: Frontiers,,,,,,205,,
2655,Hive,18,,,,,,,
150145,Skull King,,,,61,,,,
146508,T.I.M.E Stories,,,,,,,89,
144344,Rococo,,,,,,210,,
302723,Forgotten Waters,,,,,,,47,
270633,Aeon's End: The New Age,,,,,,154,,
246784,Cryptid,,,,65,,240,,
139976,Cthulhu Wars,,,,,,212,49,
206718,Ethnos,,,,,,235,,
244271,Dice Throne: Season Two – Battle Chest,,,,50,,,,
108745,Seasons,,,,,,248,,
92828,Dixit: Odyssey,,,,,17,,,
295895,Distilled,,,,,,204,,
155068,Arcadia Quest,,,,,,,70,
356123,Turing Machine,,,,,,230,,
295374,Long Shot: The Dice Game,,,,60,,,,
367220,Sea Salt & Paper,,,,67,,,,
176734,The Manhattan Project: Energy Empire,,,,,,203,,
19777,Indonesia,,,,,,177,,
284189,Foundations of Rome,,,,,,192,,
24181,Imperial,,,,,,217,,
46213,Telestrations,,,,,18,,,
66589,Navegador,,,,,,225,,
160477,Onitama,19,,,,,,,
257499,Arkham Horror (Third Edition),,,,,,,71,
400314,Apiary,,,,,,213,,
50,Lost Cities,,,,80,,,,
277085,Love Letter,,,,71,16,,,
97207,Dungeon Petz,,,,,,247,,
318184,Imperium: Classics,,,,,,226,,
172,For Sale,,,,79,,,,
38453,Space Alert,,,,,,,96,
155873,Power Grid Deluxe: Europe/North America,,,,,,190,,
22545,Age of Empires III: The Age of Discovery,,,,,,238,,
262211,Cloudspire,,,,,,191,,
111341,The Great Zimbabwe,,,,,,193,,
345972,Cat in the Box: Deluxe Edition,,,,66,,,,
5,Acquire,,,,,,269,,
245655,The King's Dilemma,,,,,,,60,
319966,The King Is Dead: Second Edition,,,,,,231,,
154203,Imperial Settlers,,,,,,276,,
2653,Survive: Escape from Atlantis!,,,,82,,,,
187617,Nemo's War (Second Edition),,,,,,,52,
